Headpin CLI Automation,Passed,Failed,Skipped
2013-04-30,155,5,0
2013-05-01,128,20,7
2013-05-02,128,20,7
2013-05-03,131,17,7
2013-05-06,130,18,7
2013-05-07,130,19,8
2013-05-08,130,19,8
2013-05-10,8,39,98
2013-05-11,141,5,5
2013-05-12,141,5,5
2013-05-13,141,5,5
2013-05-14,148,7,1
2013-05-15,151,4,1
2013-05-16,130,12,9
2013-05-17,111,10,8
2013-05-18,77,7,48
2013-05-20,96,4,0
2013-05-21,96,4,0
2013-05-22,100,0,0
2013-05-23,100,0,0
2013-05-24,100,0,0
2013-05-26,100,0,0
2013-05-27,100,1,0
2013-05-28,100,1,0
2013-05-29,116,0,0
